step,total_steps,stage,loss,erase_loss,style_loss,content_loss,image_loss,preserve_loss,adapter_norm,adapter_delta_norm,adapter_update_norm,target_shift
1,400,1,0.000782919873017,0.0007698276895090001,1.080275637832528e-06,6.455173812961827e-06,6.048939364215282e-06,1.127816843412195e-05,0.014187180437147002,5.3225417104840744e-06,6.585032679140568e-05,1.0477244359208273e-05
2,400,1,0.0014162202132860001,0.0014020287295950001,3.591454557749784e-06,5.715496627090033e-06,5.736900069071756e-06,1.1453228429066561e-05,0.014187633059918001,8.599349712312687e-06,0.000110369328467,8.17761701910058e-06
3,400,1,0.001100173336453,0.0010874284198500001,8.643778942977556e-07,6.220402307614374e-06,6.375130396918394e-06,1.080711808754131e-05,0.014188403263688,1.1975737834291062e-05,0.000161435673362,9.033999049279373e-06
4,400,1,0.0011027214350170002,0.00108792297154,2.560882990110258e-07,8.114634662585255e-06,7.424428683104149e-06,1.1076391880730322e-05,0.014189457520842,1.526196683698799e-05,0.00021524012845400002,1.271533983526751e-05
5,400,1,0.0009793946519490002,0.000963524274993,1.64561100272446e-06,7.4619889952979674e-06,7.417097246313157e-06,1.3730745498226801e-05,0.014190689660608002,1.827588494052179e-05,0.00026730247191100005,1.3887390196032351e-05
6,400,1,0.0009735693456600001,0.0009584475386260001,1.379373333776357e-06,7.378545357520731e-06,7.533974288283692e-06,1.1445251099454861e-05,0.014192147180438002,2.1176943846512582e-05,0.00031952690915200004,1.3294126802065872e-05
7,400,1,0.0008163065649560001,0.0007995471047850001,9.11748069635602e-08,8.988560542396348e-06,8.91211099466697e-06,1.2841729282323891e-05,0.014193831011652001,2.405258601356763e-05,0.00037284925929200006,2.0086357835680243e-05
8,400,1,0.0010027758544310001,0.000982854670534,5.993575958503545e-07,1.060158895901016e-05,1.022892305021135e-05,1.450521267543081e-05,0.014195782132446001,2.698454045457765e-05,0.00042782328091500006,2.0064635464223102e-05
9,400,1,0.000760479189921,0.000741638825275,1.066132327309787e-06,9.708464631330571e-06,9.39074122167464e-06,1.4558366880616321e-05,0.01419792510569,2.9795881346217353e-05,0.00048206167411900003,2.017077349592e-05
10,400,1,0.0008434418123210001,0.000821605732198,8.337172534567117e-07,1.140175360584786e-05,1.1533427368703992e-05,1.574225098011084e-05,0.014200228266417002,3.2467538403579965e-05,0.000535303377546,2.615708217490464e-05
11,400,1,0.00047830515541100004,0.000449233009324,1.406935729401463e-07,1.7304151697317142e-05,1.5040984483979022e-05,1.6597838718250085e-05,0.014202734455466002,3.5093231417704374e-05,0.0005884660058650001,3.8920283259358264e-05
12,400,1,0.0013743025483560001,0.0013420979375950001,1.173882405502979e-06,1.766928880897467e-05,1.7393222303023023e-05,1.9157926393139253e-05,0.014205508865416001,3.7643218092853203e-05,0.0006424795137710001,4.043016815558076e-05
13,400,1,0.0012791407061740001,0.001236368950533,8.041116104825127e-07,2.493862105742058e-05,2.389725189762733e-05,2.0073232614474062e-05,0.014208610169589,4.029691990581341e-05,0.000698854448273,5.830557711306029e-05
14,400,1,0.001108680735342,0.001069829959305,9.6688481221463e-07,2.281844096311639e-05,2.192161506779181e-05,1.7254677914024793e-05,0.014211944304406001,4.28946405008901e-05,0.000755224609747,5.626866914099083e-05
15,400,1,0.000985366641543,0.000954611653772,1.158987132821032e-06,1.592356784385629e-05,1.6399931761649594e-05,2.264491740788798e-05,0.014215572737157001,4.552361860987731e-05,0.0008126123575490001,3.6944831663277e-05
16,400,1,0.001360168796963,0.0013043185269140001,1.747868291583169e-07,3.3657984204182874e-05,3.3741933142058166e-05,1.993039586523082e-05,0.014219542965292,4.818004163098522e-05,0.0008714652503840001,7.235971861518921e-05
17,400,1,0.000969723972957,0.0009289200825150001,1.6826403248515472e-06,2.321202252157187e-05,2.2180633247141184e-05,2.0055636317313955e-05,0.014223694801330001,5.076191882835702e-05,0.0009295108611690001,7.97075335867703e-05
18,400,1,0.001176757970824,0.001123740298983,3.631329974496111e-07,3.0889058204290144e-05,3.0245338318006062e-05,2.6130674389908862e-05,0.014228239655494001,5.339574636309407e-05,0.0009893749374890002,6.794750515837222e-05
19,400,1,0.0005201547755850001,0.000477067403456,4.4183414971143975e-07,2.5483653795769594e-05,2.51960773312021e-05,1.8431957566159934e-05,0.014232919551432001,5.594891626969912e-05,0.0010477456962680002,9.35756543185562e-05
20,400,1,0.0009408901678390001,0.0008836487395450001,4.081515783127543e-07,3.2030040529207326e-05,3.4554464946268126e-05,2.97118252395497e-05,0.014237938448786002,5.8528905356070034e-05,0.001107063726522,0.000103129757917
21,400,1,0.00032341780024500004,0.000292650520956,5.15159219579194e-07,1.6494035965782434e-05,1.604717317604809e-05,2.2776865080231804e-05,0.014242868870496,6.096222205087542e-05,0.001162751344963,2.559881068009417e-05
22,400,1,0.0008731575799170001,0.0007876526627410001,2.043665586389428e-07,5.2278464257445506e-05,5.0079246193490696e-05,2.9294644870484873e-05,0.014247842133045,6.328885501716286e-05,0.0012167230015620002,0.000125321894302
23,400,1,0.00149825704284,0.001414947366962,2.4896109079482662e-06,5.0701817902639355e-05,4.867500410909998e-05,2.4596388963497404e-05,0.014253159053623001,6.562865746673197e-05,0.0012720657978200001,0.000130723346956
24,400,1,0.0013939670752730002,0.0012713534330630002,2.20133839926954e-06,7.477061687192571e-05,7.219783280258224e-05,3.640338582044933e-05,0.014258677139878,6.793742068111898e-05,0.001327460166066,0.00017994364316100003
