step,total_steps,stage,loss,erase_loss,style_loss,content_loss,image_loss,preserve_loss,adapter_norm,adapter_delta_norm,adapter_update_norm,target_shift
1,400,1,0.004945786669850001,0.004931365469625,1.6147926279093848e-06,6.703454497862064e-06,6.860975493812778e-06,1.197659927735609e-05,0.014003267511725,5.547597538679838e-06,6.957424920983614e-05,1.171022177004488e-05
2,400,1,0.001610367908142,0.001598289411049,2.257566838655596e-07,5.427138603408821e-06,5.202907535325115e-06,1.6184206591181763e-05,0.014003767631947,9.097969268623274e-06,0.00011591330985500002,8.725909538043197e-06
3,400,1,0.007302693091332001,0.007289951822410001,8.826871903030072e-07,5.81813151256938e-06,6.221652862829312e-06,1.2296415055364681e-05,0.014004453085362,1.1866090972034721e-05,0.00015674746828100002,9.32459624891635e-06
4,400,1,0.0015470664948220002,0.0015348732995330001,1.839540251088086e-06,5.339427540699641e-06,4.915704190959029e-06,1.2012778521845272e-05,0.014005347155034,1.4452958566835152e-05,0.000198973415535,7.211945103335893e-06
5,400,1,0.002260552253574,0.0022472958468520003,2.78646957951878e-07,6.568526184006866e-06,6.729766482749255e-06,1.2628725774751121e-05,0.014006361365318002,1.688752672635018e-05,0.00024150297394900003,1.3155332453607113e-05
6,400,1,0.0026100017130370004,0.0025968466846580003,5.448289499554448e-07,5.962473854500179e-06,5.621147920464864e-06,1.5332503001748894e-05,0.014007611200213,1.925603282870724e-05,0.00028608989669000003,1.1489093594718721e-05
7,400,1,0.00151180231478,0.001498475787229,2.232787878142517e-06,5.8607298948724455e-06,5.674857069000912e-06,1.1405232119917251e-05,0.014009048230946002,2.1581854525720704e-05,0.000331971707055,9.415271051693708e-06
8,400,1,2.374942414462566e-05,9.990358194045257e-06,1.1289933018095619e-07,6.628250351544314e-06,6.83857918678162e-06,1.4421992697558983e-05,0.014010439626872002,2.3691090973443355e-05,0.00037301477277600005,1.077636443369556e-05
9,400,1,3.394239320186898e-05,1.57738304551458e-05,3.385438536914383e-08,9.470149961998686e-06,9.581346906391749e-06,1.5006579208905652e-05,0.014011703431606001,2.556376421125605e-05,0.00040824158350000005,1.831915506045334e-05
10,400,1,0.000820345303509,0.0008056265069170001,1.052507549559322e-06,6.678450669520923e-06,6.894757158685631e-06,1.5037998309708202e-05,0.014013134874403001,2.7376891011954282e-05,0.00044448513654000006,1.3024853615206661e-05
11,400,1,0.0018450705101710002,0.0018256439264700002,4.122267161695466e-06,8.533609464696687e-06,7.615778334487307e-06,1.550691922602709e-05,0.014014812186360002,2.9228700441308323e-05,0.00048365435213700003,1.710956348688341e-05
12,400,1,0.001525124418549,0.0015096381927520001,9.221592875974238e-07,7.613604035820269e-06,7.47147608611461e-06,1.3260780936737621e-05,0.014016720466315,3.108568489551544e-05,0.000525380077306,1.319567218160955e-05
13,400,1,0.002027399372309,0.001982926420168,5.189994567444955e-07,2.3449696830842484e-05,2.4317368267171943e-05,3.0668654593076404e-05,0.014018810354173001,3.2881787774385884e-05,0.0005676707951350001,5.508773392648437e-05
14,400,1,0.002753390464931,0.0027343377296340002,1.374918694452276e-07,9.791689005093454e-06,9.598556213556245e-06,1.784551113814814e-05,0.014021216891705001,3.4794211387634284e-05,0.0006135822623030001,2.326075991732068e-05
15,400,1,0.001964726485311,0.001946120348293,1.130754223292266e-06,9.388362438282153e-06,9.082856953076165e-06,1.5485108936748773e-05,0.014023951254785002,3.682219539768994e-05,0.0006625552196050001,2.348219277337193e-05
16,400,1,4.809663369087503e-05,2.1059987678502992e-05,1.409292416099106e-07,1.4711363595173072e-05,1.4564371213054981e-05,1.951593306633488e-05,0.014026426710188,3.86235915357247e-05,0.0007046965183690001,3.0155928470776413e-05
17,400,1,0.0007386326906270001,0.0007205764462310001,3.55342057408355e-07,8.78558194017387e-06,8.943736247601919e-06,1.7758304238668643e-05,0.014029077254235,4.042844011564739e-05,0.0007473518489850001,2.796248372760601e-05
18,400,1,0.004537833854556,0.0043874518208510006,3.443017083289608e-07,8.416670516453452e-05,7.845182123370857e-05,9.216494830373753e-05,0.014031607657670002,4.2007941374322406e-05,0.000785845913924,0.00021143411868200003
19,400,1,0.00236942875199,0.0023370809891880002,1.275216613786748e-06,1.7855678985749062e-05,1.8333584042314513e-05,1.6704325692747563e-05,0.014034559018909001,4.373865886009299e-05,0.0008283334900620001,5.658288137055934e-05
